ensg	param0	param1	param2	prior_mean	post_mean	post2_mean	lower_95	upper_95
ENSG00000188909	0.5993753957205427	0.8722221387828251	46.26330903598148	0.005420016652915094	0.006725936041058896	0.0007507517394282567	-0.03495240000000033	0.05155080000000023
ENSG00000188263	0.5364334283111593	0.8710251298803987	58.25064507487843	0.0041044565014014016	0.007422824549543725	0.0004553114346547107	-0.02234399999999992	0.043091999999999686
ENSG00000139974	-0.9337247658435653	1.4801543994703943	51.6460102012896	-0.012411458144638335	-0.020980577189140537	0.001226533842189283	-0.06894720000000021	0.0250572
ENSG00000184350	-0.9212368637223435	0.8839886971334171	30.554069255185635	-0.013039832572983034	0.006735792128719514	0.0014705871563879301	-0.04357079999999991	0.07995959999999958
ENSG00000141030	-0.9528166465957714	0.9219443222878573	26.388720232862088	-0.015505543026900928	-0.00036999044678514095	0.0024068245129036337	-0.06990480000000021	0.08969519999999953
ENSG00000184788	-0.9337247658435653	0.9265204166505516	60.20223093455133	-0.006761547119647441	-0.015200620307726922	0.0006548383975803182	-0.054583200000000165	0.011331600000000108
ENSG00000085449	-0.573570863448197	0.8398107282404615	51.46515481105181	-0.004938124181409656	0.00014984530551398072	0.0005483752631973429	-0.03479279999999996	0.04149599999999953
ENSG00000102362	-1.562594762071075	1.0290382274128853	35.94501352306662	-0.01881116457588821	-0.0284281924526235	0.0020500529351485477	-0.09496200000000021	0.01643879999999953
ENSG00000137185	1.7185787550668143	1.1675781442603104	50.440588360327766	0.015745087017472698	0.017284780905811842	0.0007249003791527913	-0.013087200000000188	0.05426399999999987
ENSG00000145700	-0.6862937370108849	0.9022664296844484	74.6017245776099	-0.004033365615457119	-0.011893470929207933	0.0004138186821772146	-0.04357079999999991	0.009416399999999658
ENSG00000089847	0.6864335916789859	0.8546652410134795	73.74890349322057	0.0039015942950338207	-0.00237612482585254	0.00021808755080375726	-0.030164400000000313	0.017875199999999758
ENSG00000110786	-0.2792021395769772	1.4501139716375155	58.2068975153999	-0.0036030342327432333	0.019595826914966634	0.0014311904621585672	-0.027291600000000305	0.07740599999999986
ENSG00000236396	-0.9212368637223435	0.8839886971334171	30.554069255185635	-0.01223943727178818	-0.015436493395079902	0.001071705244205272	-0.06735120000000006	0.028249200000000307
ENSG00000118515	-0.8999780945431263	0.8803544061339683	34.07574588848599	-0.01071867845472996	-0.018553557756948197	0.0009885985757593693	-0.06591480000000027	0.016598399999999458
ENSG00000160200	0.44026851788048055	0.9400626064349913	58.786059126855115	0.003414997226030287	0.008165572816547652	0.0006072722111510858	-0.026014800000000005	0.04931639999999948
ENSG00000175206	0.4559797725324252	0.8427355227508491	58.68659010957374	0.0032674116313713584	0.002021383332157806	0.0004276126565350007	-0.03207960000000032	0.034952399999999884
ENSG00000115129	0.6864335916789859	0.9202561499674285	48.68693824253462	0.006087578235709412	0.008623244620594446	0.000583624223659803	-0.026493600000000228	0.04803960000000007
ENSG00000226174	0.5098184922441068	0.8464725699474045	57.08270257990069	0.003532277345071927	0.006933267516060055	0.00045288918462440934	-0.02298240000000007	0.04277279999999983
ENSG00000160294	-0.9337247658435653	0.93621051701677	62.82622806295173	-0.006347784151580937	0.0026854397698467406	0.0003308455840744601	-0.022024800000000067	0.03718679999999974
ENSG00000162461	0.6864335916789859	0.9442964740246468	46.26330903598148	0.006697129398251292	0.012081912600669036	0.0006931178996556317	-0.022822800000000143	0.05426399999999987
